M,N,K
1,6144,2048
2,6144,2048
4,6144,2048
8,6144,2048
16,6144,2048
32,6144,2048
40,6144,2048
48,6144,2048
56,6144,2048
64,6144,2048
72,6144,2048
80,6144,2048
96,6144,2048
104,6144,2048
112,6144,2048
128,6144,2048
136,6144,2048
144,6144,2048
160,6144,2048
176,6144,2048
184,6144,2048
192,6144,2048
200,6144,2048
208,6144,2048
216,6144,2048
224,6144,2048
232,6144,2048
240,6144,2048
256,6144,2048
272,6144,2048
288,6144,2048
304,6144,2048
320,6144,2048
336,6144,2048
352,6144,2048
368,6144,2048
384,6144,2048
400,6144,2048
416,6144,2048
432,6144,2048
448,6144,2048
464,6144,2048
480,6144,2048
496,6144,2048
512,6144,2048
588,6144,2048
664,6144,2048
768,6144,2048
896,6144,2048
1024,6144,2048
2048,6144,2048
3072,6144,2048
4096,6144,2048
8192,6144,2048
10240,6144,2048
12288,6144,2048
14336,6144,2048
16384,6144,2048
24576,6144,2048
32768,6144,2048
49152,6144,2048
65536,6144,2048
131072,6144,2048
1,4096,6144
2,4096,6144
4,4096,6144
8,4096,6144
16,4096,6144
32,4096,6144
40,4096,6144
48,4096,6144
56,4096,6144
64,4096,6144
72,4096,6144
80,4096,6144
96,4096,6144
104,4096,6144
112,4096,6144
128,4096,6144
136,4096,6144
144,4096,6144
160,4096,6144
176,4096,6144
184,4096,6144
192,4096,6144
200,4096,6144
208,4096,6144
216,4096,6144
224,4096,6144
232,4096,6144
240,4096,6144
256,4096,6144
272,4096,6144
288,4096,6144
304,4096,6144
320,4096,6144
336,4096,6144
352,4096,6144
368,4096,6144
384,4096,6144
400,4096,6144
416,4096,6144
432,4096,6144
448,4096,6144
464,4096,6144
480,4096,6144
496,4096,6144
512,4096,6144
588,4096,6144
664,4096,6144
768,4096,6144
896,4096,6144
1024,4096,6144
2048,4096,6144
3072,4096,6144
4096,4096,6144
8192,4096,6144
10240,4096,6144
12288,4096,6144
14336,4096,6144
16384,4096,6144
24576,4096,6144
32768,4096,6144
49152,4096,6144
65536,4096,6144
131072,4096,6144
1,3392,6144
2,3392,6144
4,3392,6144
8,3392,6144
16,3392,6144
32,3392,6144
40,3392,6144
48,3392,6144
56,3392,6144
64,3392,6144
72,3392,6144
80,3392,6144
96,3392,6144
104,3392,6144
112,3392,6144
128,3392,6144
136,3392,6144
144,3392,6144
160,3392,6144
176,3392,6144
184,3392,6144
192,3392,6144
200,3392,6144
208,3392,6144
216,3392,6144
224,3392,6144
232,3392,6144
240,3392,6144
256,3392,6144
272,3392,6144
288,3392,6144
304,3392,6144
320,3392,6144
336,3392,6144
352,3392,6144
368,3392,6144
384,3392,6144
400,3392,6144
416,3392,6144
432,3392,6144
448,3392,6144
464,3392,6144
480,3392,6144
496,3392,6144
512,3392,6144
588,3392,6144
664,3392,6144
768,3392,6144
896,3392,6144
1024,3392,6144
2048,3392,6144
3072,3392,6144
4096,3392,6144
8192,3392,6144
10240,3392,6144
12288,3392,6144
14336,3392,6144
16384,3392,6144
24576,3392,6144
32768,3392,6144
49152,3392,6144
65536,3392,6144
131072,3392,6144
