M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,1280,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,2560,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,10240,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,1024,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,2048,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
