M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
513,1280,8192,False,torch.float16,torch.float16,False,False
514,1280,8192,False,torch.float16,torch.float16,False,False
515,1280,8192,False,torch.float16,torch.float16,False,False
516,1280,8192,False,torch.float16,torch.float16,False,False
517,1280,8192,False,torch.float16,torch.float16,False,False
518,1280,8192,False,torch.float16,torch.float16,False,False
519,1280,8192,False,torch.float16,torch.float16,False,False
521,1280,8192,False,torch.float16,torch.float16,False,False
522,1280,8192,False,torch.float16,torch.float16,False,False
523,1280,8192,False,torch.float16,torch.float16,False,False
524,1280,8192,False,torch.float16,torch.float16,False,False
525,1280,8192,False,torch.float16,torch.float16,False,False
526,1280,8192,False,torch.float16,torch.float16,False,False
527,1280,8192,False,torch.float16,torch.float16,False,False
528,1280,8192,False,torch.float16,torch.float16,False,False
529,1280,8192,False,torch.float16,torch.float16,False,False
530,1280,8192,False,torch.float16,torch.float16,False,False
531,1280,8192,False,torch.float16,torch.float16,False,False
532,1280,8192,False,torch.float16,torch.float16,False,False
533,1280,8192,False,torch.float16,torch.float16,False,False
534,1280,8192,False,torch.float16,torch.float16,False,False
535,1280,8192,False,torch.float16,torch.float16,False,False
536,1280,8192,False,torch.float16,torch.float16,False,False
537,1280,8192,False,torch.float16,torch.float16,False,False
538,1280,8192,False,torch.float16,torch.float16,False,False
539,1280,8192,False,torch.float16,torch.float16,False,False
541,1280,8192,False,torch.float16,torch.float16,False,False
542,1280,8192,False,torch.float16,torch.float16,False,False
543,1280,8192,False,torch.float16,torch.float16,False,False
545,1280,8192,False,torch.float16,torch.float16,False,False
546,1280,8192,False,torch.float16,torch.float16,False,False
547,1280,8192,False,torch.float16,torch.float16,False,False
548,1280,8192,False,torch.float16,torch.float16,False,False
549,1280,8192,False,torch.float16,torch.float16,False,False
550,1280,8192,False,torch.float16,torch.float16,False,False
551,1280,8192,False,torch.float16,torch.float16,False,False
552,1280,8192,False,torch.float16,torch.float16,False,False
555,1280,8192,False,torch.float16,torch.float16,False,False
556,1280,8192,False,torch.float16,torch.float16,False,False
557,1280,8192,False,torch.float16,torch.float16,False,False
558,1280,8192,False,torch.float16,torch.float16,False,False
559,1280,8192,False,torch.float16,torch.float16,False,False
560,1280,8192,False,torch.float16,torch.float16,False,False
562,1280,8192,False,torch.float16,torch.float16,False,False
563,1280,8192,False,torch.float16,torch.float16,False,False
565,1280,8192,False,torch.float16,torch.float16,False,False
567,1280,8192,False,torch.float16,torch.float16,False,False
568,1280,8192,False,torch.float16,torch.float16,False,False
569,1280,8192,False,torch.float16,torch.float16,False,False
571,1280,8192,False,torch.float16,torch.float16,False,False
572,1280,8192,False,torch.float16,torch.float16,False,False
573,1280,8192,False,torch.float16,torch.float16,False,False
574,1280,8192,False,torch.float16,torch.float16,False,False
575,1280,8192,False,torch.float16,torch.float16,False,False
577,1280,8192,False,torch.float16,torch.float16,False,False
578,1280,8192,False,torch.float16,torch.float16,False,False
579,1280,8192,False,torch.float16,torch.float16,False,False
580,1280,8192,False,torch.float16,torch.float16,False,False
581,1280,8192,False,torch.float16,torch.float16,False,False
582,1280,8192,False,torch.float16,torch.float16,False,False
583,1280,8192,False,torch.float16,torch.float16,False,False
584,1280,8192,False,torch.float16,torch.float16,False,False
587,1280,8192,False,torch.float16,torch.float16,False,False
588,1280,8192,False,torch.float16,torch.float16,False,False
591,1280,8192,False,torch.float16,torch.float16,False,False
595,1280,8192,False,torch.float16,torch.float16,False,False
597,1280,8192,False,torch.float16,torch.float16,False,False
598,1280,8192,False,torch.float16,torch.float16,False,False
599,1280,8192,False,torch.float16,torch.float16,False,False
600,1280,8192,False,torch.float16,torch.float16,False,False
602,1280,8192,False,torch.float16,torch.float16,False,False
603,1280,8192,False,torch.float16,torch.float16,False,False
604,1280,8192,False,torch.float16,torch.float16,False,False
605,1280,8192,False,torch.float16,torch.float16,False,False
607,1280,8192,False,torch.float16,torch.float16,False,False
608,1280,8192,False,torch.float16,torch.float16,False,False
609,1280,8192,False,torch.float16,torch.float16,False,False
610,1280,8192,False,torch.float16,torch.float16,False,False
611,1280,8192,False,torch.float16,torch.float16,False,False
612,1280,8192,False,torch.float16,torch.float16,False,False
613,1280,8192,False,torch.float16,torch.float16,False,False
614,1280,8192,False,torch.float16,torch.float16,False,False
616,1280,8192,False,torch.float16,torch.float16,False,False
617,1280,8192,False,torch.float16,torch.float16,False,False
619,1280,8192,False,torch.float16,torch.float16,False,False
620,1280,8192,False,torch.float16,torch.float16,False,False
622,1280,8192,False,torch.float16,torch.float16,False,False
623,1280,8192,False,torch.float16,torch.float16,False,False
625,1280,8192,False,torch.float16,torch.float16,False,False
627,1280,8192,False,torch.float16,torch.float16,False,False
629,1280,8192,False,torch.float16,torch.float16,False,False
631,1280,8192,False,torch.float16,torch.float16,False,False
632,1280,8192,False,torch.float16,torch.float16,False,False
637,1280,8192,False,torch.float16,torch.float16,False,False
641,1280,8192,False,torch.float16,torch.float16,False,False
642,1280,8192,False,torch.float16,torch.float16,False,False
644,1280,8192,False,torch.float16,torch.float16,False,False
647,1280,8192,False,torch.float16,torch.float16,False,False
653,1280,8192,False,torch.float16,torch.float16,False,False
655,1280,8192,False,torch.float16,torch.float16,False,False
658,1280,8192,False,torch.float16,torch.float16,False,False
662,1280,8192,False,torch.float16,torch.float16,False,False
669,1280,8192,False,torch.float16,torch.float16,False,False
675,1280,8192,False,torch.float16,torch.float16,False,False
683,1280,8192,False,torch.float16,torch.float16,False,False
685,1280,8192,False,torch.float16,torch.float16,False,False
686,1280,8192,False,torch.float16,torch.float16,False,False
688,1280,8192,False,torch.float16,torch.float16,False,False
690,1280,8192,False,torch.float16,torch.float16,False,False
691,1280,8192,False,torch.float16,torch.float16,False,False
699,1280,8192,False,torch.float16,torch.float16,False,False
702,1280,8192,False,torch.float16,torch.float16,False,False
708,1280,8192,False,torch.float16,torch.float16,False,False
716,1280,8192,False,torch.float16,torch.float16,False,False
717,1280,8192,False,torch.float16,torch.float16,False,False
718,1280,8192,False,torch.float16,torch.float16,False,False
727,1280,8192,False,torch.float16,torch.float16,False,False
732,1280,8192,False,torch.float16,torch.float16,False,False
735,1280,8192,False,torch.float16,torch.float16,False,False
741,1280,8192,False,torch.float16,torch.float16,False,False
754,1280,8192,False,torch.float16,torch.float16,False,False
771,1280,8192,False,torch.float16,torch.float16,False,False
786,1280,8192,False,torch.float16,torch.float16,False,False
792,1280,8192,False,torch.float16,torch.float16,False,False
793,1280,8192,False,torch.float16,torch.float16,False,False
820,1280,8192,False,torch.float16,torch.float16,False,False
842,1280,8192,False,torch.float16,torch.float16,False,False
852,1280,8192,False,torch.float16,torch.float16,False,False
877,1280,8192,False,torch.float16,torch.float16,False,False
887,1280,8192,False,torch.float16,torch.float16,False,False
962,1280,8192,False,torch.float16,torch.float16,False,False
1002,1280,8192,False,torch.float16,torch.float16,False,False
1021,1280,8192,False,torch.float16,torch.float16,False,False
1035,1280,8192,False,torch.float16,torch.float16,False,False
1059,1280,8192,False,torch.float16,torch.float16,False,False
1110,1280,8192,False,torch.float16,torch.float16,False,False
1,4000,8192,False,torch.float16,torch.float16,False,False
2,4000,8192,False,torch.float16,torch.float16,False,False
3,4000,8192,False,torch.float16,torch.float16,False,False
4,4000,8192,False,torch.float16,torch.float16,False,False
5,4000,8192,False,torch.float16,torch.float16,False,False
6,4000,8192,False,torch.float16,torch.float16,False,False
7,4000,8192,False,torch.float16,torch.float16,False,False
8,4000,8192,False,torch.float16,torch.float16,False,False
