cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,gfx,xbf16,flat,tflops,bw,_tag
256,8,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,69.3073,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_pf2_silu_16x128E,0.1%,0.0,,0.0%,69.3073,1,gfx950,0,0.0,8.71,26145.68,
256,64,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,299.4633,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_pf2_silu_16x128E,0.4%,0.0,,0.0%,299.4633,1,gfx950,0,0.0,16.13,6054.56,
256,128,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,353.7982,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_pf2_silu_16x128E,0.6%,0.0,,0.0%,353.7982,1,gfx950,0,0.0,27.31,5128.06,
256,2048,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,511.2505,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.5%,0.0,,0.0%,511.2505,1,gfx950,0,0.0,302.43,3617.97,
256,4096,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,699.1846,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.5%,0.0,,0.0%,699.1846,1,gfx950,0,0.0,442.28,2699.48,
256,8192,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,256,0,308.9925,pyhip_stage1,0.0%,530.9002,pyhip_stage2,0.0%,839.8927,0,gfx950,1,1.0,736.37,2337.13,
256,16384,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,256,0,479.6011,pyhip_stage1,0.0%,817.7075,pyhip_stage2,0.0%,1297.3086,0,gfx950,1,1.0,953.47,1629.47,
256,32768,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,256,0,642.4924,pyhip_stage1,0.0%,1732.3375,pyhip_stage2,0.0%,2374.8299,0,gfx950,1,1.0,1041.72,1017.3,
256,65536,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,256,0,1215.0959,pyhip_stage1,0.0%,3551.2503,pyhip_stage2,0.0%,4766.3462,0,gfx950,1,1.0,1038.07,633.59,
256,131072,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,256,0,2435.9308,pyhip_stage1,0.0%,7335.9924,pyhip_stage2,0.0%,9771.9232,0,gfx950,1,1.0,1012.66,432.65,
