gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,304,2048,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,703.1913,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,703.1913,1,0,0,219.88,2630.42,
gfx942,304,4096,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,1069.7621,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,1069.7621,1,0,0,289.07,1764.35,
gfx942,304,8192,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,1412.0369,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,1412.0369,1,0,0,438.0,1390.14,
gfx942,304,16384,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,2680.6649,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,2680.6649,1,0,0,461.43,788.58,
gfx942,304,32768,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,4816.4201,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,4816.4201,1,0,0,513.64,501.6,
gfx950,256,2048,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,158.5330,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w3_gui_persist_fp8,5.2%,143.4974,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3584,0.1%,302.0304,0,0,0,511.93,6124.18,
gfx950,256,4096,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,230.7369,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w4_bnt0_gui_xcd4_fp8,5.2%,257.4875,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3072,0.1%,488.2244,0,0,0,633.39,3865.92,
gfx950,256,8192,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,327.6228,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_bnt0_gui_xcd4_fp8,5.2%,436.3575,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3584,0.1%,763.9803,0,0,0,809.54,2569.35,
gfx950,256,16384,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,562.2128,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_bnt0_gui_xcd4_fp8,5.2%,836.3156,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3072,0.1%,1398.5284,0,0,0,884.47,1511.54,
gfx950,256,32768,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1027.6411,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w4_bnt0_gui_xcd4_fp8,5.2%,1629.9254,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3072,0.1%,2657.5665,0,0,0,930.89,909.07,
gfx950,256,256,6144,2048,24,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,66.6215,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,5.3%,38.2805,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_atomic_persist,0.0%,104.9020,0,0,0,0.0,0.0,
gfx950,256,512,6144,2048,24,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,91.4410,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,5.3%,45.0405,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_atomic_persist,0.0%,136.4815,0,0,0,0.0,0.0,
