gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,95.6692,auto,0.0,0.22,219.41
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,9.6284,native,0.0,2.18,2180.06
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,171.0104,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0,0.12,122.74
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1,1,135.8939,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0031,0.15,154.46
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,31.258,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0055,0.67,671.52
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,23.0835,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0094,0.91,909.33
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,16.2659,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,1.29,1290.46
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,5,14.227,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0148,1.47,1475.4
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.2091,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,1.59,1589.09
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,7,16.2099,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,1.29,1294.92
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,8,13.0114,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0195,1.61,1613.24
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,9,12.8434,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0266,1.63,1634.34
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,13.2271,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0273,1.59,1586.93
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,11,13.5511,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0281,1.55,1548.99
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,12,14.0703,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0273,1.49,1491.83
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,15.0636,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0266,1.39,1393.46
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,14.8906,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0289,1.41,1409.65
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,15,15.7182,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0242,1.33,1335.42
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,2,1,44.6955,_ZN5aiter37bf16gemm_fp32bf16_tn_32x64_pf3_splitkE,0.0,0.47,469.63
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2,1,136.2335,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0,0.15,154.08
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,27.1573,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0055,0.77,772.92
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,2,93.128,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k2_block_m_warp1_block_n_warp1_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0055,0.23,225.39
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,3,20.1763,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0094,1.04,1040.35
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,16.859,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0156,1.24,1245.06
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,15.0589,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0156,1.39,1393.89
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,13.6068,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0188,1.54,1542.65
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,7,13.2599,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.018,1.58,1583.0
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,8,13.1407,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0203,1.6,1597.36
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,9,13.0096,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0234,1.61,1613.46
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,10,13.4696,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0258,1.56,1558.36
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,11,13.7857,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0258,1.52,1522.63
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,12,14.5918,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0281,1.44,1438.51
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,13,14.7537,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0336,1.42,1422.73
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,15.0658,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0359,1.39,1393.25
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,15,16.0137,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0258,1.31,1310.78
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,4,1,46.1915,_ZN5aiter37bf16gemm_fp32bf16_tn_48x64_pf3_splitkE,0.0,0.45,454.42
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4,2,71.2912,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0156,0.29,294.43
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,2,28.046,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0055,0.75,748.43
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5,2,73.517,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0055,0.29,285.52
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,20.8627,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0094,1.01,1006.12
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,4,17.4266,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0164,1.2,1204.51
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.5178,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0164,1.35,1352.67
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,14.1778,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0164,1.48,1480.52
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,7,13.5736,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0211,1.55,1546.42
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,8,13.507,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0172,1.55,1554.04
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,9,13.3837,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0242,1.57,1568.36
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,10,13.7888,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0258,1.52,1522.28
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,11,14.0171,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0242,1.5,1497.49
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,12,14.4208,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0234,1.45,1455.57
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,13,15.9832,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0289,1.31,1313.28
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,15.2629,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0297,1.37,1375.26
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,15,16.0637,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0305,1.31,1306.7
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,47.9812,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,0.44,437.47
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6,4,48.9183,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0148,0.43,429.09
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,2,29.1521,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0055,0.72,720.03
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,3,21.3477,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0102,0.98,983.27
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,17.784,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0164,1.18,1180.3
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7,4,37.7193,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0227,0.56,556.49
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.7919,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0164,1.33,1329.19
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,14.5509,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0156,1.44,1442.55
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,7,14.0827,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0203,1.49,1490.51
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,8,13.7443,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0164,1.53,1527.21
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,9,13.6637,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0219,1.53,1536.22
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,10,13.849,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0234,1.51,1515.67
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,11,14.3744,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0211,1.46,1460.27
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,12,14.8196,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0258,1.42,1416.4
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,13,15.3422,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0305,1.37,1368.15
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,14,15.357,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.032,1.37,1366.83
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,15,16.5143,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0211,1.27,1271.05
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,30.3881,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0055,0.69,690.75
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,3,21.6712,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0102,0.97,968.59
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.5055,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0133,1.13,1134.28
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8,4,38.2428,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0141,0.55,548.87
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.3825,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0117,1.28,1281.27
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,6,14.9213,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0164,1.41,1406.74
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,7,14.5014,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0125,1.45,1447.48
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,8,14.3865,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0195,1.46,1459.04
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,9,14.1444,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0227,1.48,1484.01
