gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,97.2064,auto,0.0,0.22,215.94
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.4386,native,0.0,2.01,2010.85
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,162.9587,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0,0.13,128.81
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1,1,131.6552,flydsl_gemm2_abf16_wbf16_bf16_t16x128x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0031,0.16,159.44
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,26.907,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0055,0.78,780.11
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,19.3171,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0078,1.09,1086.63
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,16.6762,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.018,1.26,1258.71
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,5,14.1218,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0125,1.49,1486.39
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.1035,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0195,1.6,1601.9
gfx942,304,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,7,12.7764,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.018,1.64,1642.91
